Node,NCC,VAR,SPIG
1,1,0,7078

3,3,264.6666666666667,0

2,1,0,7078

0,1,0,7078

4,1,0,7077

5,1,0,7077

7,1,0,7077

10,1,0,7112

8,1,0,7109

9,2,100.0,0

12,1,0,7109

11,1,0,7077

13,1,0,7130

14,3,88.66666666666667,0

17,1,0,7120

19,1,0,7120

18,1,0,7120

15,1,0,7143

16,4,64.25,0

20,1,0,7127

21,1,0,7127

23,1,0,7127

24,1,0,7144

25,2,36.0,0

26,1,0,7143

29,1,0,7128

27,1,0,7128

28,1,0,7128

30,3,108.66666666666667,0

31,1,0,7108

36,1,0,7113

35,3,264.6666666666667,0

39,1,0,7106

37,1,0,7106

38,1,0,7106

32,1,0,7088

33,1,0,7083

34,1,0,7083

44,1,0,7081

43,1,0,7081

40,1,0,7081

41,1,0,7082

42,1,0,7081

