id,SNV

1,0.07352941176470588

3,0.9312504270584218

2,0.07352941176470588

0,0.07352941176470588

4,0.061764705882352944

5,0.061764705882352944

7,0.061764705882352944

10,0.4735294117647059

8,0.43823529411764706

9,0.8861111035189615

12,0.43823529411764706

11,0.061764705882352944

13,0.6852941176470588

14,0.9371096942903896

17,0.5676470588235295

19,0.5676470588235295

18,0.5676470588235295

15,0.8382352941176472

16,0.9904581389691309

20,0.6500000000000001

21,0.6500000000000001

23,0.6500000000000001

24,0.8500000000000001

25,0.9

26,0.8382352941176472

29,0.661764705882353

27,0.661764705882353

28,0.661764705882353

30,0.9354880203562769

31,0.4264705882352941

36,0.4852941176470588

35,0.9312504270584218

39,0.40294117647058825

37,0.40294117647058825

38,0.40294117647058825

32,0.19117647058823534

33,0.1323529411764706

34,0.1323529411764706

44,0.10882352941176471

43,0.10882352941176471

40,0.10882352941176471

41,0.12058823529411766

42,0.10882352941176471

6,0

22,0

45,0

46,0

